iter	Logloss
0	0.6810792745
1	0.6697558689
2	0.656362108
3	0.6452665824
4	0.634547969
5	0.6250182922
6	0.6168292154
7	0.606174349
8	0.5980622855
9	0.5912939359
10	0.5830081818
11	0.5752711756
12	0.5658972809
13	0.5591693626
14	0.5519674143
15	0.5457706927
16	0.5397743312
17	0.5317730193
18	0.5259470665
19	0.5198296907
20	0.5143721817
21	0.509569655
22	0.5045301127
23	0.4996631937
24	0.4941578355
25	0.488753188
26	0.4848611107
27	0.4795613538
28	0.4750806757
29	0.4705851878
30	0.4668693049
31	0.461182729
32	0.4568696378
33	0.4536306552
34	0.4505323601
35	0.4470053664
36	0.4433850047
37	0.4393026368
38	0.4354843848
39	0.4316613881
40	0.427751769
41	0.4247814944
42	0.4217110042
43	0.419332575
44	0.4159242151
45	0.4133881111
46	0.4108248114
47	0.4079604407
48	0.4054531311
49	0.4024468182
50	0.3997461034
51	0.3978592049
52	0.3960618199
53	0.3936619092
54	0.3907448406
55	0.3886628323
56	0.3856816224
57	0.3827582571
58	0.3807656117
59	0.3786295517
60	0.3746612609
61	0.3719144282
62	0.3705327594
63	0.3677868768
64	0.3649383481
65	0.3623905498
66	0.3589144253
67	0.356299065
68	0.3543284278
69	0.3512984972
70	0.3487100384
71	0.3469258717
72	0.3449377761
73	0.3426771059
74	0.339922578
75	0.3380012737
76	0.3357018544
77	0.334415905
78	0.3326577904
79	0.3311202205
80	0.3301094454
81	0.3284795319
82	0.3270056243
83	0.3257349741
84	0.3236890541
85	0.3223455501
86	0.320255066
87	0.3189019686
88	0.3174540015
89	0.3158332862
90	0.3146057807
91	0.312697876
92	0.3110646623
93	0.3100745082
94	0.3088620125
95	0.3081021728
96	0.3059278904
97	0.304162704
98	0.3028520635
99	0.3012204622
100	0.3002694493
101	0.2985534116
102	0.2969698376
103	0.2954078299
104	0.293948114
105	0.2929025426
106	0.2906929264
107	0.2883748697
108	0.287179239
109	0.2861379172
110	0.2847735658
111	0.2841539062
112	0.2829698268
113	0.2820886456
114	0.2810001047
115	0.2799285961
116	0.2784475697
117	0.2775530864
118	0.2762226336
119	0.2746156532
120	0.2733800741
121	0.2726756704
122	0.2714416373
123	0.2706043148
124	0.2695774591
125	0.2681696783
126	0.2678686619
127	0.2662872671
128	0.2651862321
129	0.2640349325
