iter	Passed	Remaining
0	54	54066
1	56	28314
2	58	19445
3	59	14938
4	61	12231
5	62	10420
6	64	9126
7	65	8176
8	67	7418
9	68	6811
10	70	6345
11	72	5929
12	73	5581
13	75	5304
14	76	5049
15	78	4819
16	79	4613
17	82	4509
18	85	4390
19	87	4272
20	89	4159
21	92	4134
22	94	4030
23	96	3941
24	99	3889
25	101	3814
26	103	3722
27	104	3635
28	106	3553
29	107	3477
30	109	3409
31	110	3342
32	112	3284
33	113	3226
34	114	3170
35	116	3117
36	117	3066
37	119	3019
38	120	2976
39	122	2938
40	123	2898
41	125	2863
42	127	2826
43	128	2792
44	130	2759
45	131	2727
46	132	2695
47	134	2665
48	135	2637
49	137	2609
50	138	2582
51	140	2556
52	141	2533
53	143	2509
54	144	2485
55	146	2462
56	147	2441
57	149	2421
58	150	2402
59	152	2382
60	153	2364
61	155	2347
62	156	2330
63	158	2314
64	159	2297
65	161	2282
66	162	2266
67	164	2250
68	165	2235
69	167	2220
70	168	2206
71	170	2193
72	171	2179
73	173	2168
74	174	2155
75	176	2142
76	178	2134
77	180	2128
78	182	2124
79	184	2119
80	186	2113
81	187	2104
82	189	2093
83	190	2081
84	195	2104
85	197	2099
86	199	2094
87	201	2090
88	203	2086
89	205	2075
90	206	2065
91	209	2063
92	211	2062
93	214	2071
94	216	2061
95	218	2052
96	219	2043
97	220	2033
98	222	2024
99	224	2019
100	226	2012
101	227	2003
102	229	1995
103	230	1988
104	232	1979
105	233	1971
106	235	1963
107	236	1954
108	238	1946
109	240	1942
110	241	1934
111	242	1926
112	244	1918
113	245	1910
114	247	1903
115	248	1896
116	250	1888
117	251	1881
118	253	1874
119	254	1867
120	256	1862
121	258	1857
122	259	1850
123	260	1843
124	262	1837
125	263	1830
126	265	1823
127	266	1817
128	268	1811
129	269	1804
130	271	1799
131	272	1793
132	274	1787
133	275	1781
134	277	1775
135	278	1770
136	280	1764
137	281	1758
138	283	1753
139	284	1747
140	285	1742
141	287	1737
142	288	1731
143	290	1726
144	291	1721
145	293	1716
146	294	1710
147	296	1705
148	297	1700
149	299	1695
150	300	1690
151	302	1685
152	303	1680
153	305	1676
154	306	1671
155	308	1666
156	309	1662
157	311	1657
158	312	1652
159	313	1647
160	315	1643
161	317	1640
162	318	1635
163	319	1631
164	321	1626
165	322	1622
166	324	1618
167	325	1614
168	327	1609
169	328	1605
170	330	1601
171	331	1597
172	333	1593
173	334	1589
174	336	1585
175	337	1580
176	339	1576
177	340	1572
178	342	1568
179	343	1564
180	344	1560
181	346	1557
182	348	1554
183	349	1550
184	351	1547
185	352	1543
186	354	1540
187	355	1536
188	357	1532
189	358	1529
190	360	1525
191	361	1521
192	363	1518
193	364	1514
194	366	1511
195	367	1508
196	369	1504
197	370	1501
198	372	1497
199	373	1494
200	375	1491
201	376	1487
202	378	1487
203	384	1499
204	385	1496
205	387	1492
206	388	1488
207	390	1485
208	391	1482
209	393	1479
210	394	1475
211	396	1472
212	397	1469
213	401	1476
214	404	1475
215	407	1478
216	409	1478
217	411	1475
218	412	1472
219	415	1473
220	417	1472
221	419	1469
222	420	1466
223	422	1464
224	424	1461
225	425	1458
226	427	1455
227	428	1452
228	430	1450
229	432	1447
230	433	1443
231	435	1440
232	436	1437
233	437	1433
234	439	1430
235	441	1428
236	442	1425
237	444	1422
238	445	1418
239	447	1416
240	449	1416
241	452	1418
242	455	1419
243	457	1417
244	459	1415
245	461	1413
246	465	1419
247	468	1421
248	472	1425
249	474	1422
250	475	1419
251	477	1416
252	478	1413
253	480	1410
254	481	1406
255	483	1403
256	484	1400
257	486	1397
258	487	1394
259	488	1391
260	490	1388
261	491	1385
262	493	1382
263	494	1379
264	496	1376
265	497	1373
266	499	1370
267	500	1367
268	502	1364
269	503	1361
270	505	1358
271	506	1355
272	508	1352
273	509	1350
274	511	1347
275	512	1344
276	513	1341
277	515	1338
278	516	1335
279	518	1332
280	519	1329
281	521	1327
282	522	1324
283	524	1321
284	525	1319
285	527	1316
286	528	1313
287	530	1311
288	531	1308
289	533	1305
290	534	1302
291	536	1300
292	537	1297
293	539	1294
294	540	1291
295	542	1289
296	543	1286
297	545	1284
298	546	1281
299	548	1278
300	549	1276
301	550	1273
302	552	1270
303	553	1268
304	555	1265
305	557	1263
306	558	1260
307	560	1258
308	561	1256
309	563	1253
310	564	1250
311	566	1248
312	567	1245
313	569	1243
314	570	1240
315	572	1238
316	573	1235
317	575	1233
318	576	1231
319	578	1228
320	579	1226
321	581	1224
322	582	1221
323	584	1218
324	585	1217
325	587	1214
326	589	1212
327	590	1209
328	591	1207
329	593	1204
330	594	1202
331	596	1199
332	597	1197
333	599	1195
334	600	1192
335	602	1190
336	603	1187
337	605	1185
338	606	1182
339	608	1180
340	609	1178
341	611	1175
342	612	1173
343	614	1171
344	615	1168
345	617	1166
346	618	1164
347	619	1160
348	621	1158
349	622	1156
350	623	1153
351	625	1151
352	626	1148
353	628	1146
354	629	1144
355	631	1141
356	632	1139
357	634	1137
358	635	1134
359	637	1132
360	638	1130
361	640	1128
362	645	1132
363	647	1130
364	648	1128
365	650	1126
366	651	1123
367	658	1130
368	660	1129
369	662	1127
370	664	1125
371	665	1123
372	667	1121
373	669	1120
374	670	1118
375	673	1116
376	674	1114
377	676	1112
378	677	1110
379	679	1108
380	680	1105
381	682	1103
382	683	1101
383	685	1099
384	686	1097
385	688	1094
386	689	1092
387	691	1090
388	692	1087
389	694	1085
390	695	1083
391	696	1080
392	698	1078
393	699	1076
394	701	1074
395	702	1072
396	704	1069
397	705	1067
398	707	1065
399	708	1063
400	710	1061
401	711	1059
402	713	1057
403	714	1054
404	716	1052
405	717	1050
406	719	1048
407	720	1046
408	722	1043
409	723	1041
410	725	1039
411	726	1037
412	728	1034
413	729	1032
414	731	1030
415	732	1028
416	734	1026
417	735	1024
418	737	1022
419	738	1019
420	739	1017
421	741	1015
422	742	1013
423	744	1011
424	745	1008
425	747	1007
426	749	1005
427	750	1003
428	752	1001
429	753	999
430	755	997
431	756	995
432	758	992
433	759	990
434	761	988
435	762	986
436	764	984
437	765	982
438	768	981
439	769	979
440	771	977
441	772	975
442	774	973
443	775	971
444	777	969
445	778	967
446	780	965
447	782	964
448	783	961
449	785	959
450	786	957
451	788	955
452	790	954
453	792	952
454	798	956
455	801	956
456	807	959
457	811	959
458	813	958
459	815	956
460	816	955
461	818	953
462	820	951
463	822	950
464	824	948
465	825	946
466	827	944
467	828	942
468	830	940
469	832	938
470	833	936
471	835	934
472	836	932
473	838	930
474	839	928
475	841	926
476	842	924
477	844	922
478	846	920
479	847	918
480	848	915
481	850	914
482	852	912
483	853	910
484	855	908
485	856	906
486	858	903
487	859	901
488	861	899
489	862	897
490	863	895
491	865	893
492	866	891
493	868	889
494	869	887
495	871	885
496	872	883
497	874	881
498	875	878
499	876	876
500	878	874
501	879	872
502	881	870
503	882	868
504	884	866
505	885	864
506	886	862
507	888	860
508	889	858
509	891	856
510	892	854
511	894	852
512	895	850
513	897	848
514	898	846
515	900	844
516	901	842
517	903	840
518	905	838
519	907	837
520	909	836
521	911	834
522	912	832
523	914	830
524	915	828
525	917	826
526	918	824
527	920	822
528	921	820
529	923	819
530	925	817
531	927	815
532	929	814
533	932	813
534	935	813
535	938	812
536	940	810
537	942	808
538	944	807
539	945	805
540	947	803
541	948	801
542	950	799
543	951	797
544	953	795
545	955	794
546	956	792
547	958	790
548	959	788
549	961	786
550	962	784
551	964	782
552	965	780
553	967	778
554	968	776
555	970	774
556	971	772
557	973	771
558	974	769
559	976	767
560	977	765
561	979	763
562	980	761
563	982	759
564	983	757
565	985	755
566	986	753
567	988	751
568	990	749
569	991	747
570	992	746
571	994	744
572	995	742
573	997	740
574	998	738
575	1000	736
576	1001	734
577	1003	732
578	1004	730
579	1006	728
580	1007	726
581	1009	724
582	1010	722
583	1012	720
584	1013	719
585	1015	717
586	1018	716
587	1019	714
588	1021	712
589	1022	710
590	1024	708
591	1025	706
592	1027	705
593	1028	703
594	1030	701
595	1031	699
596	1033	697
597	1034	695
598	1036	693
599	1037	691
600	1039	690
601	1041	688
602	1045	688
603	1046	686
604	1048	684
605	1049	682
606	1051	680
607	1053	679
608	1054	677
609	1056	675
610	1057	673
611	1059	671
612	1060	669
613	1062	667
614	1063	665
615	1065	663
616	1067	662
617	1069	660
618	1070	658
619	1072	657
620	1073	655
621	1075	653
622	1076	651
623	1078	649
624	1079	647
625	1081	646
626	1084	645
627	1087	644
628	1088	642
629	1090	640
630	1091	638
631	1093	636
632	1094	634
633	1096	632
634	1097	630
635	1102	631
636	1105	630
637	1108	628
638	1110	627
639	1111	625
640	1113	623
641	1121	625
642	1123	623
643	1127	623
644	1128	621
645	1132	620
646	1135	619
647	1137	617
648	1142	617
649	1145	616
650	1151	617
651	1156	617
652	1159	615
653	1162	615
654	1165	613
655	1167	612
656	1169	610
657	1170	608
658	1172	606
659	1174	605
660	1177	604
661	1179	602
662	1181	600
663	1182	598
664	1184	596
665	1185	594
666	1187	592
667	1190	591
668	1193	590
669	1195	588
670	1197	586
671	1198	585
672	1200	583
673	1201	581
674	1203	579
675	1208	579
676	1210	577
677	1212	575
678	1214	574
679	1215	572
680	1217	570
681	1218	568
682	1222	567
683	1225	566
684	1229	565
